number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price,house_age,years_since_renovation
4,1.75,2220,6350,1.0,0,0,3,7,1110,1110,122022,52.9436,-114.48,1950,8100,2,77,526000,65,65
3,2.04,2053,1,1.58,1,1,3,7,1935,373,122032,52.76,-114.41,2115,3728,2,65,529481,59,54
3,1.96,2093,13780,1.59,1,1,3,8,1725,280,122035,52.8,-114.41,2070,12816,2,66,1029354,52,52
3,2.01,1641,11787,1.42,1,1,3,8,1880,249,122034,52.83,-114.36,1930,13853,1,66,614674,60,50
3,2.03,2149,17937,1.52,1,1,3,7,2001,274,122036,52.75,-114.39,2184,8892,1,65,546104,56,45
2,2.25,1330,1380,2.0,0,0,3,8,1060,270,122009,52.807,-114.6,1580,4802,1,68,479000,19,19
2,2.06,2212,24368,1.66,1,1,3,7,1656,168,122034,52.78,-114.41,2074,13828,2,67,945628,49,41
5,2.5,2640,4400,1.5,0,0,5,7,1840,800,122044,52.835,-114.49,1720,4400,1,58,593000,99,99
4,2.75,3440,8150,2.0,0,0,3,10,3440,0,122053,52.7468,-114.379,2560,8315,3,68,730000,10,10
3,1.75,1390,10905,1.0,0,0,3,6,860,530,122034,52.7817,-114.55,1390,10839,1,50,270000,67,67
4,1.75,2130,5080,1.5,0,0,3,8,2130,0,122003,52.8727,-114.553,1900,5080,1,64,955500,110,31
3,2.5,2000,1950,3.0,0,0,3,8,2000,0,122061,52.8776,-114.546,1560,1340,1,66,755000,19,19
3,1.75,2200,14630,1.5,0,1,3,8,2200,0,122048,52.8374,-114.403,2850,15803,1,56,1230000,76,21
4,2.5,2150,37981,2.0,0,0,3,9,2150,0,122005,52.9527,-114.288,2450,37981,2,69,609000,39,39
3,2.05,2005,24834,1.45,1,1,3,7,1777,241,122034,52.77,-114.39,1998,13776,2,62,567671,53,53
2,2.25,1660,2748,2.0,0,0,3,7,1660,0,122042,52.6633,-114.402,1620,3167,1,54,235000,29,29
3,1.75,1770,10080,1.0,0,0,3,8,1770,0,122022,52.9518,-114.496,1860,10456,3,61,495000,56,56
3,2.14,2102,23514,1.44,1,1,3,8,1757,282,122037,52.79,-114.42,2108,16511,1,63,1003757,48,32
3,2.26,2244,7238,1.49,1,1,3,7,1696,206,122029,52.75,-114.41,2085,23830,2,63,563011,58,54
4,1.0,1480,7560,1.5,0,0,3,7,1480,0,122050,52.9379,-114.548,1480,7560,1,51,440000,84,84
3,2.5,1640,3804,2.0,0,0,3,8,1640,0,122044,52.8403,-114.49,1440,3230,1,77,602000,26,26
3,2.25,2860,11250,1.0,0,1,5,8,2290,570,122031,52.6834,-114.562,2030,11250,1,54,805000,68,68
3,2.1,1953,14658,1.44,1,1,3,7,1803,285,122033,52.79,-114.39,1963,9627,2,64,563306,52,45
3,2.5,1360,1489,2.0,0,0,3,8,1360,0,122064,52.779,-114.562,1360,1688,1,66,345000,17,17
4,1.75,1930,6720,1.0,0,2,3,8,1130,800,122006,52.9235,-114.502,1850,6380,2,57,495000,65,65
5,2.5,3990,3839,1.0,0,0,4,8,1990,2000,122047,52.8536,-114.489,2090,5000,3,60,610000,62,62
3,2.16,1951,12768,1.54,1,1,3,7,1649,372,122037,52.81,-114.38,1948,13515,1,64,663957,52,43
3,2.08,2196,29444,1.52,1,1,3,7,1682,301,122031,52.8,-114.4,2116,10538,1,63,968599,50,52
3,2.32,2192,10249,1.42,1,1,3,8,1741,408,122037,52.77,-114.38,1921,4646,1,65,1059993,50,49
2,1.0,790,7275,1.0,0,0,4,6,790,0,122046,52.7071,-114.364,850,7399,3,51,150000,80,80
3,2.09,2011,12561,1.45,1,1,3,7,1867,351,122031,52.82,-114.44,2120,17971,1,65,780055,49,45
3,1.5,1800,8303,1.0,0,0,3,7,1200,600,122038,52.9993,-114.547,1800,8171,3,73,442500,67,67
3,2.0,1640,4802,1.0,0,0,3,8,1640,0,122024,52.5838,-114.211,1940,4802,3,68,342000,14,14
2,1.5,1920,6250,1.0,0,0,3,7,1060,860,122032,52.8797,-114.583,2070,6250,3,55,495000,87,87
3,1.95,1865,14853,1.49,1,1,3,7,1623,396,122033,52.76,-114.38,2045,12679,1,63,493554,43,53
3,1.5,1490,7275,1.0,0,0,3,7,1090,400,122033,52.9448,-114.403,1420,7330,3,58,415000,50,50
3,2.75,2500,5568,2.0,0,0,5,9,2500,0,122047,52.8558,-114.502,2810,5568,1,52,1190000,119,119
3,2.1,2214,13794,1.54,1,1,3,7,1423,207,122029,52.81,-114.4,2119,7022,2,64,997180,61,49
3,2.21,2033,20167,1.69,1,1,3,7,1829,335,122030,52.73,-114.42,1748,9490,1,66,521790,47,53
4,2.5,2790,7938,2.0,0,0,3,9,2790,0,122019,52.8523,-114.216,2780,7779,3,63,764000,27,27
3,2.07,1742,22174,1.47,1,1,3,7,1796,346,122039,52.78,-114.39,1830,15777,2,65,530326,50,56
5,4.5,4130,10404,2.0,0,0,3,10,4130,0,122011,52.7856,-114.22,3890,11531,1,53,998000,20,20
3,2.75,3230,5432,2.0,1,4,3,7,3230,0,122018,52.5644,-114.56,2560,72229,1,60,1150000,99,31
3,2.0,2010,7017,2.0,0,3,3,7,2010,0,122006,52.9128,-114.457,2450,6045,1,65,775000,73,36
3,2.5,1470,3000,1.0,0,0,3,7,930,540,122006,52.9132,-114.476,1470,5588,3,78,435000,39,39
3,2.22,2018,15248,1.56,1,1,3,7,1826,342,122032,52.81,-114.4,2006,16621,2,64,779036,59,45
3,1.97,1998,12619,1.36,1,1,3,7,1809,193,122031,52.82,-114.39,1953,11113,2,66,708019,55,52
3,2.25,1820,8008,1.0,0,0,3,8,1240,580,122005,52.9506,-114.3,2030,8750,3,60,475000,43,43
3,2.12,1918,11983,1.49,1,1,3,7,1901,379,122037,52.77,-114.44,1991,16800,2,64,531335,55,62
1,1.0,730,1942,1.0,0,0,3,7,730,0,122054,52.8239,-114.489,1020,2183,1,52,321500,16,16
3,2.16,2113,26787,1.39,1,1,3,7,1741,357,122033,52.78,-114.36,1785,15445,2,62,848210,52,52
3,1.93,1945,12190,1.47,1,1,3,7,2040,216,122032,52.81,-114.44,1847,15081,1,65,684411,55,42
3,1.5,1620,9310,1.0,0,0,4,7,1620,0,122035,52.5965,-114.297,1610,10640,1,63,219950,57,57
3,2.0,2740,23505,2.0,0,4,3,10,2740,0,122039,52.549,-114.45,2800,16400,1,74,535000,36,36
4,2.5,3160,13194,2.0,0,0,5,10,3160,0,122057,52.7772,-114.423,3490,13194,3,66,1190000,59,59
3,1.5,1530,10827,1.0,0,0,4,8,1530,0,122071,52.8654,-114.424,2050,10827,2,52,865000,69,69
3,1.75,1880,6360,1.0,0,0,4,7,1040,840,122006,52.9178,-114.476,1770,6175,2,57,600000,79,79
3,2.07,2109,15512,1.41,1,1,3,7,1674,312,122031,52.78,-114.41,1911,5958,2,61,823971,41,50
4,1.75,1770,9848,1.0,0,0,3,8,1370,400,122029,52.8508,-114.289,2040,9587,1,60,606150,57,57
3,1.92,1830,9819,1.56,1,1,3,7,2122,322,122030,52.82,-114.42,2283,10012,1,66,711527,55,45
3,2.18,2071,12781,1.68,1,1,3,7,1793,261,122027,52.83,-114.44,2052,16800,2,64,943532,48,48
3,2.1,2020,23640,1.71,1,1,3,7,2007,200,122030,52.78,-114.39,1874,17413,1,62,608672,48,43
3,2.08,2070,23770,1.3,1,1,3,7,1883,177,122034,52.84,-114.44,2018,9878,2,64,928761,49,52
3,2.28,2295,7369,1.65,1,1,3,7,1668,345,122035,52.79,-114.43,1783,16638,1,62,964832,48,52
3,1.98,2063,21887,1.5,1,1,3,7,2103,404,122027,52.8,-114.4,2091,9518,1,63,886229,50,54
3,2.08,1946,25683,1.49,1,1,3,7,1874,287,122036,52.8,-114.4,2058,13189,2,65,652482,57,53
4,2.75,3040,13559,2.0,0,0,3,11,3040,0,122015,52.752,-114.339,3830,12202,1,80,840000,21,21
3,2.01,2231,11936,1.54,1,1,3,7,1856,179,122036,52.79,-114.41,2076,5188,1,65,926897,54,48
3,2.41,1951,20241,1.53,1,1,3,7,1453,161,122036,52.75,-114.43,1993,14796,1,67,524776,50,54
4,2.25,2060,8540,1.0,0,0,4,7,1540,520,122033,52.964,-114.38,1560,7700,1,75,425000,57,57
3,2.25,2680,9162,1.0,0,0,3,8,1570,1110,122012,52.7983,-114.281,2480,8261,3,77,599990,46,46
4,1.75,1360,4840,1.5,0,0,4,7,1360,0,122064,52.786,-114.566,1320,4840,3,60,399500,96,96
4,2.75,1830,3420,2.0,0,0,3,8,1830,0,122043,52.596,-114.498,1813,3420,2,51,269800,12,12
2,1.0,1550,3200,1.5,0,0,3,8,1550,0,122047,52.8668,-114.496,1800,3937,2,75,605000,97,97
3,2.25,2299,21162,1.34,1,1,3,7,1899,196,122036,52.76,-114.42,1881,5134,2,67,572671,66,50
3,2.08,1928,12037,1.6,1,1,3,7,1860,307,122037,52.8,-114.41,1920,15507,2,63,635557,51,40
3,2.11,2073,9175,1.46,1,1,3,7,1692,297,122026,52.82,-114.39,2090,15984,1,65,949440,54,43
3,2.41,2388,8236,1.44,1,1,3,7,1862,231,122034,52.82,-114.38,2043,16532,1,65,1091508,62,43
3,2.12,2095,17300,1.55,1,1,3,7,1869,209,122029,52.77,-114.42,1894,13002,1,65,835200,49,53
4,2.5,3220,35400,2.0,0,0,3,9,3220,0,122021,52.9847,-114.304,3050,35252,3,52,690000,33,33
2,2.5,1590,1845,2.0,0,0,3,9,1590,0,122010,52.9197,-114.365,2320,3174,3,71,409900,27,27
3,2.15,2068,18293,1.43,1,1,3,7,1849,460,122041,52.78,-114.46,2065,13562,2,65,817080,53,55
5,3.0,2900,6730,1.0,0,0,5,8,1830,1070,122006,52.9084,-114.475,2370,6283,3,50,865000,47,47
3,1.99,1808,13690,1.38,1,1,3,7,1700,155,122035,52.76,-114.41,2189,15407,2,66,482643,57,58
3,1.95,2144,16856,1.29,1,1,3,7,1850,334,122030,52.76,-114.43,2011,7377,1,68,541833,53,48
5,2.5,4570,19252,2.0,0,0,5,10,4570,0,122057,52.7853,-114.41,3180,13314,1,65,1480000,59,59
3,2.0,1420,6788,2.0,0,0,3,7,1420,0,122018,52.5187,-114.541,1790,6607,1,61,252000,34,34
3,2.19,1879,19658,1.41,1,1,3,7,1723,255,122034,52.83,-114.41,1956,9614,2,64,684063,55,52
3,1.99,1974,18993,1.57,1,1,3,7,1611,230,122028,52.73,-114.38,2161,15168,2,65,511051,53,58
4,3.75,4420,9492,2.0,0,1,3,9,3420,1000,122022,52.9511,-114.473,2880,9900,1,65,925000,62,19
3,2.25,1880,12473,1.0,0,0,3,8,1420,460,122058,52.9923,-114.446,2300,10469,2,78,399000,66,66
2,2.5,2210,4440,2.0,0,0,4,8,1440,770,122047,52.8605,-114.49,1560,4920,2,53,820000,93,93
3,2.05,2079,12269,1.39,1,1,3,7,2146,243,122030,52.83,-114.38,2040,7917,2,64,931398,50,55
4,2.0,1580,7800,2.0,0,0,2,6,1580,0,122054,52.8148,-114.492,1190,4440,2,52,333000,118,118
3,1.92,2053,12552,1.48,1,1,3,7,2013,236,122031,52.78,-114.42,1999,12309,1,64,834910,49,52
3,1.0,1560,7552,1.0,0,0,4,6,910,650,122014,52.9852,-114.517,1200,8152,2,70,320000,76,76
3,2.08,2004,31112,1.5,1,1,3,7,1799,325,122038,52.78,-114.4,1922,14033,1,64,576741,45,50
6,3.0,3110,5000,1.5,0,0,5,7,1810,1300,122028,52.8931,-114.538,1600,4000,2,73,725000,103,103
3,2.5,1870,6821,2.0,0,0,3,7,1870,0,122018,52.5365,-114.548,1970,6821,2,79,275000,35,35
3,1.0,1400,4980,1.0,0,0,3,6,950,450,122038,52.9341,-114.53,990,4980,2,62,359950,81,81
3,2.25,1660,7003,2.0,0,0,3,7,1660,0,122065,52.5899,-114.378,1840,6680,3,79,269950,28,28
3,1.0,1350,3090,1.5,0,0,5,6,1350,0,122028,52.912,-114.538,1350,3090,3,74,400000,110,110
4,3.25,2520,3360,1.5,0,0,4,8,1550,970,122006,52.9101,-114.505,1730,3360,2,64,618250,93,93
4,3.25,4400,186846,2.0,0,0,4,9,4400,0,122068,52.3893,-114.147,2280,186846,1,69,687000,31,31
3,2.23,2220,18539,1.45,1,1,3,7,1742,383,122031,52.81,-114.41,1875,19756,2,63,1014870,46,44
5,1.5,1830,9000,1.0,0,2,3,7,1030,800,122014,52.9788,-114.482,2610,11175,2,54,465000,69,69
4,1.5,1710,4600,1.5,0,0,3,7,1710,0,122006,52.9147,-114.508,1740,4455,2,65,495800,100,100
3,2.0,1300,11374,1.5,0,0,5,7,1300,0,122056,52.7139,-114.492,1480,9670,1,78,287000,91,91
5,2.5,3361,6983,2.0,0,0,3,10,3361,0,122023,52.5727,-114.359,3112,6920,2,75,511000,18,18
3,1.75,1850,14986,2.0,0,0,3,6,1850,0,122015,52.7137,-114.338,2660,10650,2,65,330000,81,19
4,2.5,2260,13600,1.0,0,0,4,8,1770,490,122057,52.7736,-114.423,2630,13995,3,72,865000,50,50
3,3.5,2630,4713,2.0,0,2,3,9,2030,600,122012,52.7773,-114.206,2450,4187,3,79,695000,16,16
3,2.2,1797,11939,1.67,1,1,3,7,1936,343,122032,52.76,-114.38,2285,5927,2,64,494188,51,51
3,1.97,2064,13144,1.72,1,1,3,7,2091,177,122027,52.84,-114.39,1896,15076,1,64,940906,54,54
2,2.5,1830,8107,1.0,0,0,5,7,930,900,122022,52.931,-114.495,1260,6960,3,61,460000,78,78
3,2.0,1380,4800,1.0,0,0,3,7,1380,0,122032,52.881,-114.559,1740,5640,2,69,640000,76,76
4,2.5,2910,8596,2.0,0,0,3,8,2910,0,122040,52.4896,-114.494,2770,8602,2,58,312200,20,20
3,2.05,2181,17214,1.51,1,1,3,8,1670,90,122035,52.8,-114.42,2162,1095,2,63,1133514,58,44
3,1.5,1300,5000,1.0,0,0,4,7,900,400,122018,52.5325,-114.56,1430,7500,1,55,226500,48,48
4,2.0,1820,5000,1.5,0,1,3,7,1640,180,122006,52.9115,-114.459,2060,5000,2,69,650000,79,79
4,2.25,2010,7200,1.0,0,1,4,8,1010,1000,122051,52.7891,-114.457,2010,7200,2,68,800000,74,74
3,2.0,2420,8800,1.0,0,0,4,7,1420,1000,122070,52.6622,-114.481,1546,8666,1,56,298500,65,65
4,3.0,3990,7838,2.0,0,0,3,9,3990,0,122045,52.9157,-114.236,3370,6814,1,63,810000,21,21
2,2.0,1880,5400,1.5,0,0,3,8,1880,0,122047,52.8538,-114.501,1590,5400,1,62,751750,122,122
3,2.09,2281,12260,1.54,1,1,3,7,1862,407,122023,52.8,-114.4,1844,5536,1,70,953317,42,41
4,3.0,2230,108900,1.0,0,0,3,7,1410,820,122008,52.75,-114.035,1960,65340,1,65,460000,46,46
3,2.15,1941,6476,1.36,1,1,3,7,1827,363,122031,52.83,-114.4,1973,9557,2,66,687185,62,51
3,2.22,2169,15992,1.35,1,1,3,7,2085,351,122033,52.78,-114.38,1968,8980,1,65,914754,57,47
3,2.5,1540,6100,1.0,0,0,3,6,770,770,122064,52.7996,-114.568,1710,5950,2,78,515000,80,10
3,1.96,2190,14453,1.59,1,1,3,7,1642,201,122041,52.75,-114.43,2089,5687,2,66,536206,59,50
3,2.19,1998,20249,1.49,1,1,3,7,1673,398,122035,52.82,-114.41,2088,11571,2,63,729823,51,38
3,2.5,1700,6396,2.0,0,0,3,7,1700,0,122008,52.7633,-114.06,1700,4444,3,53,389950,21,21
3,2.24,2116,8520,1.45,1,1,3,7,1724,223,122030,52.75,-114.37,1739,11608,1,63,537497,59,51
3,1.99,2172,17552,1.4,1,1,3,7,1777,306,122033,52.79,-114.39,2022,18369,1,63,939164,49,51
4,2.5,2520,5000,2.0,0,0,3,9,2520,0,122011,52.7824,-114.182,2910,5001,3,79,680000,20,20
2,1.0,1200,4880,1.0,0,0,3,6,980,220,122034,52.7576,-114.536,1040,4880,1,64,245000,81,81
3,1.0,1160,18055,1.0,0,0,2,5,1160,0,122056,52.7072,-114.459,1340,10324,2,51,182000,74,74
3,2.15,2109,14139,1.32,1,1,3,7,1701,216,122031,52.76,-114.37,2017,16010,2,64,549482,54,59
3,2.09,1923,20095,1.47,1,1,3,7,1585,257,122037,52.76,-114.4,2181,15137,1,63,487172,43,58
4,4.0,3770,8899,2.0,0,0,3,10,2940,830,122019,52.8776,-114.269,3300,8308,2,60,1100000,18,18
3,2.0,1630,8702,1.0,0,0,3,9,1630,0,122053,52.7468,-114.383,2250,9890,1,68,445000,37,37
3,2.0,1934,17536,1.47,1,1,3,7,1863,247,122036,52.78,-114.4,2086,11399,2,63,561850,53,52
3,1.75,1290,7205,1.5,0,0,3,7,1290,0,122033,52.9629,-114.427,1340,7214,2,53,365000,53,53
3,1.75,1410,1197,3.0,0,0,3,8,1410,0,122028,52.8858,-114.538,1350,2512,3,54,500000,12,12
3,2.5,2130,3500,1.0,0,0,4,8,1210,920,122021,52.966,-114.349,2030,3710,2,51,534640,30,30
3,2.15,2197,15611,1.34,1,1,3,7,1857,224,122030,52.8,-114.46,2189,14672,2,62,978834,59,61
3,1.0,1510,10369,1.0,0,0,4,7,1010,500,122015,52.7108,-114.289,1510,16057,1,75,313000,56,56
3,2.14,2147,15823,1.47,1,1,3,7,1732,272,122032,52.8,-114.44,2114,16606,2,64,950269,49,48
3,1.75,2200,9840,1.0,0,0,5,8,1500,700,122027,52.789,-114.326,2410,9623,2,70,689000,46,46
2,1.0,720,18000,1.0,0,0,3,6,720,0,122063,52.7354,-114.451,1250,7925,1,56,195000,74,74
3,2.03,1956,8662,1.62,1,1,3,7,1846,242,122031,52.8,-114.4,2082,17406,2,66,663583,49,53
3,2.05,1895,21740,1.49,1,1,3,7,1938,278,122038,52.86,-114.37,1874,18855,1,65,607306,59,45
3,2.06,2245,18059,1.66,1,1,3,7,2020,313,122032,52.83,-114.4,1972,9359,2,65,1015420,56,54
3,2.36,1733,7191,1.47,1,1,3,7,1545,212,122036,52.78,-114.36,2025,19969,2,64,531300,45,52
3,2.17,2286,10140,1.44,1,1,3,7,1852,260,122040,52.77,-114.4,2008,3249,1,62,965423,56,42
4,2.5,2100,8800,1.0,0,2,4,7,1240,860,122029,52.8446,-114.304,2000,8800,2,51,630000,64,64
3,1.0,1560,5225,1.5,0,0,3,7,1260,300,122051,52.7854,-114.469,1560,5322,3,57,430000,97,97
3,2.5,1990,4040,1.5,0,0,5,8,1390,600,122028,52.9167,-114.544,1180,3030,2,75,579000,98,98
3,2.08,2022,10125,1.43,1,1,3,7,1731,296,122036,52.79,-114.39,1899,10067,2,67,612316,60,53
4,2.25,2800,18673,1.0,0,0,5,9,1650,1150,122049,52.8193,-114.367,2800,15300,1,73,940000,59,59
4,2.25,3250,34293,2.0,0,0,4,9,3250,0,122035,52.5796,-114.284,3110,35982,2,51,480000,41,41
3,2.25,1820,9670,2.0,0,0,3,8,1820,0,122005,52.8682,-114.3,2160,11424,1,76,557500,40,40
3,1.81,2000,21524,1.54,1,1,3,7,1760,365,122035,52.82,-114.35,2032,21988,2,67,617698,55,55
2,1.0,1396,111949,1.0,0,0,3,7,1396,0,122045,52.8674,-114.197,2020,111949,3,76,225000,84,27
4,1.75,1770,9011,1.0,0,0,5,7,1050,720,122035,52.5946,-114.266,1410,8530,3,55,264950,41,41
2,1.0,940,15450,1.0,0,0,4,6,940,0,122069,52.6708,-114.651,1370,34820,1,57,252000,98,98
3,2.12,2035,10670,1.47,1,1,3,7,1686,308,122035,52.81,-114.41,1939,19521,2,64,753868,52,52
3,3.0,2520,2152,1.5,0,0,3,8,1560,960,122003,52.8663,-114.561,1140,2152,1,76,780000,99,18
3,2.3,2273,14471,1.42,1,1,3,7,2012,344,122031,52.75,-114.4,2025,12437,2,64,561366,41,48
4,2.5,2650,4316,1.5,0,0,3,8,1520,1130,122009,52.8166,-114.579,1690,5625,3,53,705000,119,11
3,2.5,2250,4337,2.0,0,0,3,8,2250,0,122020,52.8208,-114.207,2250,4721,3,58,589000,20,20
3,2.19,2105,21388,1.61,1,1,3,7,1956,432,122031,52.79,-114.41,2200,14990,2,67,893489,61,53
3,1.0,1120,9134,1.0,0,0,4,7,1120,0,122033,52.9443,-114.401,1340,7302,2,71,343000,52,52
4,2.5,2350,3800,2.0,0,0,3,8,2350,0,122015,52.7083,-114.313,2670,4180,3,51,469995,10,10
3,2.02,2034,27024,1.55,1,1,3,7,1736,289,122037,52.76,-114.44,1929,17263,1,60,545704,50,53
3,1.92,2390,15312,1.51,1,1,3,7,1906,341,122028,52.8,-114.39,2059,9433,1,62,1011851,53,48
3,2.02,1899,6507,1.62,1,1,3,7,2085,289,122034,52.78,-114.4,2040,20598,2,65,564005,51,51
3,2.2,1922,7619,1.5,1,1,3,7,1788,334,122034,52.75,-114.45,1972,10012,1,61,471304,48,50
3,2.04,2090,24018,1.48,1,1,3,7,1849,288,122034,52.77,-114.37,2004,16988,1,67,847421,51,46
3,2.27,2255,12113,1.44,1,1,3,7,1825,277,122029,52.79,-114.45,1992,17506,1,65,957871,54,50
3,2.2,1830,20053,1.45,1,1,3,7,1647,283,122034,52.78,-114.41,1757,12369,1,64,524184,58,57
3,2.43,1981,8868,1.54,1,1,3,7,1854,329,122031,52.78,-114.4,1920,12734,2,66,560007,52,52
3,1.75,1750,16748,1.0,0,0,3,7,1330,420,122021,52.9721,-114.279,1750,16050,3,59,435000,46,46
3,2.32,1972,13997,1.41,1,1,3,7,2159,328,122030,52.79,-114.4,1895,11219,1,64,592786,48,41
3,1.75,1640,11730,1.0,0,0,5,7,1640,0,122033,52.9651,-114.379,1640,7770,3,70,397000,57,57
2,1.0,670,7312,1.0,0,0,3,5,670,0,122022,52.9445,-114.475,860,8242,1,70,348000,82,82
3,1.75,2060,12558,1.0,0,0,4,7,1350,710,122005,52.8959,-114.334,1850,8722,2,61,625000,40,40
3,2.23,2135,14980,1.61,1,1,3,7,2051,302,122039,52.78,-114.42,2055,6378,1,63,896710,49,53
3,1.86,2151,15593,1.48,1,1,3,7,1596,270,122037,52.82,-114.42,1906,13770,2,62,972253,52,46
4,2.5,2530,6500,1.5,0,0,3,8,1720,810,122006,52.9037,-114.474,2150,5280,1,73,650000,49,49
4,1.75,1870,9500,1.0,0,0,4,7,1090,780,122010,52.9312,-114.377,2010,10000,2,70,490000,62,62
3,2.5,1690,3129,2.0,0,0,3,7,1690,0,122045,52.9175,-114.233,1690,3129,1,50,442500,22,22
5,2.75,1990,3750,1.5,0,0,4,7,1990,0,122026,52.9033,-114.548,1820,5000,1,56,852000,111,111
4,2.25,1770,5236,2.0,0,0,3,7,1770,0,122053,52.7437,-114.379,2470,5064,2,51,413900,17,17
3,2.1,1745,16728,1.56,1,1,3,7,1634,337,122033,52.77,-114.41,2176,12486,1,64,536331,53,59
3,2.21,2021,12762,1.5,1,1,3,7,2063,316,122034,52.78,-114.4,2081,6439,2,63,601234,46,46
3,1.96,2027,9994,1.56,1,1,3,7,1971,222,122032,52.79,-114.45,1896,13247,1,64,643283,52,48
5,2.5,2260,10087,1.0,0,0,3,8,1520,740,122029,52.8282,-114.318,2500,9440,1,63,632000,57,57
3,2.19,2071,6049,1.52,1,1,3,7,1775,194,122032,52.79,-114.41,1963,14060,2,66,840890,56,49
1,1.0,720,3166,1.0,0,0,3,6,720,0,122009,52.8111,-114.579,1140,6250,2,75,375000,104,104
3,1.75,1620,5500,1.0,0,0,3,7,1110,510,122047,52.8693,-114.498,2100,6500,3,73,680000,74,74
3,2.03,2239,17105,1.69,1,1,3,7,1866,276,122028,52.75,-114.39,1978,9895,1,62,549816,60,52
4,2.5,2120,9163,1.0,0,0,4,8,1450,670,122027,52.7851,-114.362,2120,9166,1,65,550000,63,63
3,2.26,2046,6617,1.57,1,1,3,7,1841,208,122032,52.81,-114.44,2019,13191,2,66,917218,54,57
3,2.25,1370,1524,3.0,0,0,3,8,1370,0,122028,52.9282,-114.537,1370,1418,1,61,355000,19,19
4,1.75,1680,7800,1.0,0,0,3,7,1330,350,122029,52.8586,-114.308,1680,7210,2,57,451000,58,58
3,2.18,2091,8777,1.43,1,1,3,7,2000,342,122034,52.84,-114.42,2085,9216,1,68,948314,55,59
3,2.0,1460,5715,1.0,0,0,3,7,1460,0,122051,52.77,-114.466,1400,5715,3,66,340000,67,10
3,2.01,1940,10746,1.54,1,1,3,7,1899,275,122036,52.82,-114.43,1916,11322,2,66,678117,54,57
3,2.17,2283,16483,1.55,1,1,3,7,1529,304,122028,52.79,-114.42,2115,13815,2,64,974219,58,42
3,2.1,2052,885,1.57,1,1,3,7,1838,386,122034,52.79,-114.41,2019,9139,2,65,826176,53,48
3,1.0,990,8255,1.0,0,0,3,7,990,0,122060,52.655,-114.521,1180,9750,1,59,191000,71,71
5,2.25,1980,13132,1.0,0,0,4,7,1260,720,122043,52.6284,-114.491,1880,11325,3,70,307700,62,62
2,1.5,950,676,2.0,0,0,3,7,850,100,122054,52.8305,-114.496,950,1280,1,61,304000,21,21
3,2.12,2359,21071,1.33,1,1,3,7,1643,295,122029,52.78,-114.37,1963,9156,2,64,994485,50,55
3,1.97,2128,17856,1.42,1,1,3,7,1828,318,122034,52.79,-114.41,1875,14580,1,67,914581,52,56
3,2.19,2335,13622,1.41,1,1,3,7,1896,348,122034,52.81,-114.37,2094,17347,1,65,1056328,55,61
3,2.0,2093,13708,1.51,1,1,3,7,1665,242,122037,52.82,-114.4,2229,14876,2,67,985804,61,44
3,1.0,1080,10500,1.0,0,0,3,7,1080,0,122039,52.55,-114.468,1200,9607,2,67,132500,57,57
3,1.75,1580,6127,1.5,0,0,5,7,1580,0,122022,52.9492,-114.51,1500,6128,2,52,402000,77,77
2,1.75,840,3340,1.0,0,0,3,6,700,140,122026,52.8992,-114.549,1700,3980,1,54,450000,112,112
3,2.25,3440,44374,2.0,0,3,4,10,2190,1250,122027,52.777,-114.301,3470,40185,2,55,740000,45,45
4,1.0,1370,41194,1.5,0,2,5,5,1370,0,122023,52.5016,-114.334,1590,84070,1,68,255500,124,124
3,2.07,1984,27946,1.55,1,1,3,7,1818,461,122030,52.81,-114.4,2057,11516,1,65,725413,50,39
4,3.5,2210,7597,1.0,0,0,4,9,1550,660,122048,52.8116,-114.387,2370,8811,1,51,1100000,47,18
4,2.25,2380,17199,2.0,0,0,3,8,1530,850,122058,52.9968,-114.46,2280,11529,3,58,470000,45,45
3,2.18,2202,24651,1.66,1,1,3,7,1691,195,122034,52.84,-114.43,1825,8284,2,66,1009489,58,44
3,2.26,2108,11957,1.58,1,1,3,7,1810,350,122031,52.82,-114.34,2028,9569,2,65,903226,59,48
3,1.75,1400,7735,1.0,0,0,4,7,1400,0,122024,52.587,-114.23,1530,7754,1,52,269950,35,35
4,1.0,1440,7100,1.5,0,0,3,7,1440,0,122026,52.9025,-114.586,1490,5000,1,79,500000,118,118
3,2.5,2280,6134,2.0,0,0,3,8,2280,0,122008,52.7635,-114.044,2640,6167,2,53,470000,20,20
3,2.5,2920,5629,1.0,0,2,5,8,1460,1460,122032,52.872,-114.595,2380,5000,1,59,1020000,69,69
3,2.5,1450,5008,1.0,0,0,3,7,840,610,122034,52.7735,-114.547,2120,5019,3,78,330000,17,17
3,2.13,2119,14205,1.5,1,1,3,7,1956,168,122034,52.85,-114.4,2017,11406,2,65,1003298,49,49
3,2.16,2197,8801,1.44,1,1,3,7,1865,346,122034,52.79,-114.45,1821,16190,1,66,926555,51,49
3,2.04,2407,10257,1.38,1,1,3,7,1813,268,122041,52.8,-114.42,1875,7838,1,66,990374,52,54
2,1.0,1270,3700,1.5,0,0,3,7,1270,0,122054,52.8249,-114.497,1980,3200,3,58,404500,115,115
